Date	no. of Adult males	temperature_mean	relativehumidity_mean
15-Jun-23	1	24.62	45
16-Jun-23	1	26.79	46
17-Jun-23	0	26.02	53
18-Jun-23	1	25.04	48
19-Jun-23	0	25.09	43
20-Jun-23	0	27.95	39
21-Jun-23	0	29.08	30
22-Jun-23	0	28.91	36
23-Jun-23	0	28.88	41
24-Jun-23	0	27.44	41
25-Jun-23	0	26.03	40
26-Jun-23	0	26.69	39
27-Jun-23	0	29.77	36
28-Jun-23	0	27.89	47
29-Jun-23	0	27.13	53
30-Jun-23	0	27.29	43
01-Jul-23	0	28.34	39
02-Jul-23	0	26.33	43
03-Jul-23	0	28.44	43
04-Jul-23	0	29.82	34
05-Jul-23	0	29.17	35
06-Jul-23	0	26.61	51
07-Jul-23	0	25.86	57
08-Jul-23	0	23.11	58
09-Jul-23	0	22.62	47
10-Jul-23	0	24.81	35
11-Jul-23	0	23.35	53
12-Jul-23	0	23.85	50
13-Jul-23	3	25.2	41
14-Jul-23	0	27.66	27
15-Jul-23	2	29.64	31
16-Jul-23	0	27.1	48
17-Jul-23	0	25.7	60
18-Jul-23	1	25.63	54
19-Jul-23	0	26.59	39
20-Jul-23	0	27.42	30
21-Jul-23	0	29.18	26
22-Jul-23	0	30.2	29
23-Jul-23	0	32.41	26
24-Jul-23	0	30.43	38
25-Jul-23	0	30.11	44
26-Jul-23	0	30.22	49
27-Jul-23	0	26.86	69
28-Jul-23	0	26.3	65
29-Jul-23	0	27.89	49
30-Jul-23	0	25.39	64
31-Jul-23	0	26.38	41
01-Aug-23	0	28.18	31
02-Aug-23	0	27.73	42
03-Aug-23	0	27.3	48
04-Aug-23	0	28.52	36
05-Aug-23	0	29.87	31
06-Aug-23	0	29.77	43
07-Aug-23	0	26.27	58
08-Aug-23	0	26.13	53
09-Aug-23	0	25.58	53
10-Aug-23	0	24.43	56
11-Aug-23	0	24.05	58
12-Aug-23	0	24.05	50
13-Aug-23	0	21.9	62
14-Aug-23	0	25.42	36
15-Aug-23	0	27.27	36
16-Aug-23	0	26.58	59
17-Aug-23	0	27.02	52
18-Aug-23	0	26.37	67
19-Aug-23	0	23.41	68
20-Aug-23	0	24.77	53
21-Aug-23	0	25.52	44
22-Aug-23	0	24	52
23-Aug-23	0	23.15	54
24-Aug-23	0	23.03	56
25-Aug-23	0	24.53	55
26-Aug-23	0	26.09	51
27-Aug-23	0	26.56	51
28-Aug-23	2	25.59	56
29-Aug-23	0	24.97	60
30-Aug-23	1	25.67	57
31-Aug-23	0	23.99	68
01-Sep-23	0	21.15	77
02-Sep-23	0	20.69	66
03-Sep-23	0	22.12	58
04-Sep-23	0	22.82	66
05-Sep-23	0	23.65	63
06-Sep-23	0	25.1	53
07-Sep-23	6	25.67	54
08-Sep-23	0	25.56	61
09-Sep-23	4	24.08	57
10-Sep-23	3	22.41	64
11-Sep-23	0	21.52	66
12-Sep-23	3	22.04	53
13-Sep-23	2	23.88	47
14-Sep-23	0	25.65	52
15-Sep-23	0	25.44	56
16-Sep-23	0	24.47	58
17-Sep-23	0	14.74	81
18-Sep-23	6	15.41	48
19-Sep-23	0	17.23	43
20-Sep-23	0	17.39	55
21-Sep-23	0	16.29	60
22-Sep-23	0	14.03	64
23-Sep-23	2	15.13	57
24-Sep-23	0	18.19	50
25-Sep-23	2	17.75	73
26-Sep-23	0	17.7	77
27-Sep-23	3	18.09	59
28-Sep-23	1	18.49	61
